タイプ,ノーマル,ほのお,みず,くさ,でんき,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,
ドヒドイデ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カラミンゴ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ミニリュウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハクリュー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カイリュー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ユキハミ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
モスノウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ユキカブリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ユキノオー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
デリバード,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
クマシュン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ツンベアー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ユキワラシ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オニゴーリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ユキメノコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
フリージオ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アルクジラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハルクジラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カチコール,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
クレベース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ワシボン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウォーグル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コマタナ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キリキザン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドドゲザン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
モノズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ジヘッド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
サザンドラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ミガルーサ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヘイラッシャ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シャリタツ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
セビエ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
セグレイブ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
リザードン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
